1, 1, 1, 226792, 0, 16, 2, 8, 29, 2012, 15
1, 1, 1, 229401, 0, 16, 31, 8, 29, 2012, 15
1, 1, 1, 44867, 0, 16, 56, 8, 29, 2012, 15
1, 1, 1, 44866, 0, 17, 3, 8, 29, 2012, 15
1, 1, 1, 44874, 0, 17, 7, 8, 29, 2012, 15
1, 1, 1, 65296, 0, 17, 15, 8, 29, 2012, 15
1, 1, 1, 52249, 0, 19, 36, 8, 29, 2012, 15
1, 1, 1, 52249, 0, 21, 16, 8, 29, 2012, 15
1, 1, 1, 226792, 0, 6, 59, 8, 30, 2012, 15
1, 1, 1, 229401, 0, 8, 44, 8, 30, 2012, 15
1, 1, 1, 44866, 0, 8, 51, 8, 30, 2012, 15
1, 1, 1, 44874, 0, 8, 52, 8, 30, 2012, 15
1, 1, 1, 44867, 0, 8, 56, 8, 30, 2012, 15
1, 1, 1, 65296, 0, 9, 5, 8, 30, 2012, 15
